link_id,from_item_id,to_item_id,paper_id,year,evidence_location,evidence
L0001,APW001.paper,APW001.result.dbm_represents_physical_states,NQSC001,2017,Deep-Neural-Network-arxiv.tex:98-110,[redacted_for_public_release]
L0002,APW001.paper,APW001.limitation.rbm_complexity_barrier,NQSC001,2017,Deep-Neural-Network-arxiv.tex:110-113,[redacted_for_public_release]
L0003,APW034.paper,APW034.problem.vanilla_rnn_long_distance,NQSC034,2020,main.tex:211-212,[redacted_for_public_release]
L0004,APW034.paper,APW034.method.rnn_wavefunction_autoregressive,NQSC034,2020,main.tex:103-105,[redacted_for_public_release]
L0005,APW034.paper,APW034.benchmark.spin_models,NQSC034,2020,main.tex:74-75,[redacted_for_public_release]
L0006,APW060.paper,APW060.method.unique_configuration_sampling,NQSC060,2021,main.tex:362-369,[redacted_for_public_release]
L0007,APW060.paper,APW060.method.physical_priors_constraints,NQSC060,2021,main.tex:389-394,[redacted_for_public_release]
L0008,APW060.paper,APW060.benchmark.molecules_30_spin_orbitals,NQSC060,2021,main.tex:138,[redacted_for_public_release]
L0009,APW060.paper,APW060.limitation.local_energy_barrier,NQSC060,2021,main.tex:868-870,[redacted_for_public_release]
L0010,APW084.paper,APW084.benchmark.tfi_family,NQSC084,2022,main-11.tex:153-164,[redacted_for_public_release]
L0011,APW084.paper,APW084.limitation.phase_boundary_extrapolation,NQSC084,2022,main-11.tex:182-184,[redacted_for_public_release]
L0012,APW090.paper,APW090.benchmark.large_molecules_atoms,NQSC090,2022,main_revtex.tex:239-268,[redacted_for_public_release]
L0013,APW090.paper,APW090.limitation.relative_binding_not_solved,NQSC090,2022,main_revtex.tex:303,[redacted_for_public_release]
L0014,CSS045.paper,CSS045.problem.autoregressive_symmetry_tradeoff,NQSC045,2020,text/2011.02986v2/main_physrev.tex:81,[redacted_for_public_release]
L0015,CSS045.paper,CSS045.benchmark.frustrated_spin_models,NQSC045,2020,text/2011.02986v2/main_physrev.tex:195,[redacted_for_public_release]
