link_id,from_item_id,to_item_id,paper_id,year,evidence_location,evidence
B0001,CSSA145.problem.peaked_hamiltonian,CSSA170.problem.scalability_barriers,NQSC170,2025,text/2506.23809v1/sec/intro.tex:6,[redacted_for_public_release]
B0002,CSSA145.method.gpu_compression,CSSA170.method.cache_optimization,NQSC170,2025,text/2506.23809v1/sec/innovation.tex:220-227,[redacted_for_public_release]
B0003,CSSA145.method.local_energy_surrogate,CSSA170.method.energy_parallelism,NQSC170,2025,text/2506.23809v1/sec/innovation.tex:138-146,[redacted_for_public_release]
B0004,CSSA145.method.sampling_without_replacement,CSSA170.method.sampling_parallelism,NQSC170,2025,text/2506.23809v1/sec/innovation.tex:5-16,[redacted_for_public_release]
B0005,CSSA170.paper,CSSA170.problem.scalability_barriers,NQSC170,2025,text/2506.23809v1/sec/abstract.tex:6,[redacted_for_public_release]
B0006,CSSA170.paper,CSSA170.method.sampling_parallelism,NQSC170,2025,text/2506.23809v1/sec/intro.tex:16,[redacted_for_public_release]
B0007,CSSA170.paper,CSSA170.method.energy_parallelism,NQSC170,2025,text/2506.23809v1/sec/intro.tex:17,[redacted_for_public_release]
B0008,CSSA170.paper,CSSA170.method.cache_optimization,NQSC170,2025,text/2506.23809v1/sec/intro.tex:18,[redacted_for_public_release]
B0009,CSSA170.paper,CSSA170.benchmark.fugaku_systems,NQSC170,2025,text/2506.23809v1/sec/eval.tex:59-60,[redacted_for_public_release]
B0010,CSSA170.paper,CSSA170.result.precision_validation,NQSC170,2025,text/2506.23809v1/sec/eval.tex:18-19,[redacted_for_public_release]
B0011,CSSA170.paper,CSSA170.result.overall_speedup,NQSC170,2025,text/2506.23809v1/sec/abstract.tex:6,[redacted_for_public_release]
B0012,CSSA170.method.sampling_parallelism,CSSA170.problem.scalability_barriers,NQSC170,2025,text/2506.23809v1/sec/innovation.tex:5-16,[redacted_for_public_release]
B0013,CSSA170.paper,CSSA170.result.memory_sampling,NQSC170,2025,text/2506.23809v1/sec/eval.tex:80-82,[redacted_for_public_release]
B0014,CSSA170.paper,CSSA170.result.energy_speedup,NQSC170,2025,text/2506.23809v1/sec/eval.tex:116-119,[redacted_for_public_release]
B0015,CSSA170.paper,CSSA170.future.exascale,NQSC170,2025,text/2506.23809v1/sec/conclusion.tex:3,[redacted_for_public_release]
B0016,DTO175.paper,DTO175.problem.dynamic_nqs_nontrivial,NQSC175,2025,text/2507.08418v4/main_clean.tex:109-115,[redacted_for_public_release]
B0017,DTO175.paper,DTO175.method.s_nqs_chebyshev,NQSC175,2025,text/2507.08418v4/main_clean.tex:141-167,[redacted_for_public_release]
B0018,DTO175.paper,DTO175.method.global_interval_loss,NQSC175,2025,text/2507.08418v4/main_clean.tex:187-204,[redacted_for_public_release]
B0019,DTO175.paper,DTO175.method.window_continuation,NQSC175,2025,text/2507.08418v4/main_clean.tex:275-295,[redacted_for_public_release]
B0020,DTO175.paper,DTO175.benchmark.l40_tmps,NQSC175,2025,text/2507.08418v4/main_clean.tex:427-433,[redacted_for_public_release]
B0021,DTO175.paper,DTO175.result.orders_lower_infidelity,NQSC175,2025,text/2507.08418v4/main_clean.tex:350-365,[redacted_for_public_release]
B0022,DTO175.paper,DTO175.result.dt_energy_stability,NQSC175,2025,text/2507.08418v4/main_clean.tex:382-412,[redacted_for_public_release]
B0023,DTO175.paper,DTO175.limitation.integrator_expressivity,NQSC175,2025,"text/2507.08418v4/main_clean.tex:439-448,594",[redacted_for_public_release]
B0024,DTO175.paper,DTO175.future.cnn_transformer_open,NQSC175,2025,text/2507.08418v4/main_clean.tex:439-448,[redacted_for_public_release]
B0025,DTO175.method.s_nqs_chebyshev,DTO175.problem.dynamic_nqs_nontrivial,NQSC175,2025,text/2507.08418v4/main_clean.tex:117-167,[redacted_for_public_release]
B0026,DTO175.method.global_interval_loss,DTO175.result.orders_lower_infidelity,NQSC175,2025,text/2507.08418v4/main_clean.tex:187-365,[redacted_for_public_release]
B0027,DTO175.result.dt_energy_stability,DTO175.limitation.integrator_expressivity,NQSC175,2025,text/2507.08418v4/main_clean.tex:382-594,[redacted_for_public_release]
B0028,DTO175.limitation.integrator_expressivity,DTO175.future.cnn_transformer_open,NQSC175,2025,text/2507.08418v4/main_clean.tex:439-448,[redacted_for_public_release]
B0029,DTO178.paper,DTO178.problem.strong_quench_instability,NQSC178,2025,text/2507.17421v2/0_abstract_v4.tex:1,[redacted_for_public_release]
B0030,DTO178.paper,DTO178.method.compare_tdvp_integrators,NQSC178,2025,text/2507.17421v2/2_model_v5.tex:1-45,[redacted_for_public_release]
B0031,DTO178.paper,DTO178.benchmark.2d_heisenberg_quench,NQSC178,2025,text/2507.17421v2/2_model_v5.tex:1-45,[redacted_for_public_release]
B0032,DTO178.paper,DTO178.result.breakdown_delta,NQSC178,2025,text/2507.17421v2/3_results_v3.tex:1-19,[redacted_for_public_release]
B0033,DTO178.paper,DTO178.result.implicit_adaptive_recovers,NQSC178,2025,text/2507.17421v2/4_discussion_v4.tex:1-7,[redacted_for_public_release]
B0034,DTO178.paper,DTO178.interpretation.stiffness_not_noise,NQSC178,2025,text/2507.17421v2/4_discussion_v4.tex:1-30,[redacted_for_public_release]
B0035,DTO178.paper,DTO178.limitation.explicit_unreliable,NQSC178,2025,text/2507.17421v2/0_abstract_v4.tex:1,[redacted_for_public_release]
B0036,DTO178.paper,DTO178.future.alternatives_needed,NQSC178,2025,text/2507.17421v2/0_abstract_v4.tex:1,[redacted_for_public_release]
B0037,DTO178.method.compare_tdvp_integrators,DTO178.problem.strong_quench_instability,NQSC178,2025,text/2507.17421v2/2_model_v5.tex:1-45,[redacted_for_public_release]
B0038,DTO178.result.implicit_adaptive_recovers,DTO178.interpretation.stiffness_not_noise,NQSC178,2025,text/2507.17421v2/4_discussion_v4.tex:1-30,[redacted_for_public_release]
