link_id,from_item_id,to_item_id,paper_id,year,evidence_location,evidence
L0001,HPM002.paper,APW001.paper,NQSC002,2017,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1701.06246/neuron_prl.bbl:1213,[redacted_for_public_release]
L0002,HPM002.paper,HPM007.paper,NQSC002,2017,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1701.06246/neuron_prl.bbl:1440,[redacted_for_public_release]
L0003,HPM003.paper,APW001.paper,NQSC003,2017,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1704.05148/citation_backfill_thebibliography.bbl:385,[redacted_for_public_release]
L0004,HPM003.paper,HPM002.paper,NQSC003,2017,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1704.05148/citation_backfill_thebibliography.bbl:406,[redacted_for_public_release]
L0005,FWP004.paper,HPM002.paper,NQSC004,2017,extraction_waves/frustrated_spin_pilot_wave_v0/text/1709.06475/main.bbl:543,[redacted_for_public_release]
L0006,FWP004.paper,HPM003.paper,NQSC004,2017,extraction_waves/frustrated_spin_pilot_wave_v0/text/1709.06475/main.bbl:550,[redacted_for_public_release]
L0007,HPM007.paper,APW001.paper,NQSC007,2018,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1802.09558/citation_backfill_thebibliography.bbl:287,[redacted_for_public_release]
L0008,HPM007.paper,HPM002.paper,NQSC007,2018,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1802.09558/citation_backfill_thebibliography.bbl:298,[redacted_for_public_release]
L0009,HPM007.paper,HPM003.paper,NQSC007,2018,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1802.09558/citation_backfill_thebibliography.bbl:235,[redacted_for_public_release]
L0010,HPM007.paper,FWP004.paper,NQSC007,2018,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1802.09558/citation_backfill_thebibliography.bbl:184,[redacted_for_public_release]
L0011,HPM010.paper,DTO077.paper,NQSC010,2018,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1807.07445/citation_backfill_thebibliography.bbl:169,[redacted_for_public_release]
