link_id,from_item_id,to_item_id,paper_id,year,evidence_location,evidence
A0001,NQSC127.paper.01,APW001.paper,NQSC127,2024,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2402.11014v2/main.bbl:57,[redacted_for_public_release]
A0002,NQSC127.paper.01,HPM002.paper,NQSC127,2024,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2402.11014v2/main.bbl:786,[redacted_for_public_release]
A0003,NQSC127.paper.01,FWP004.paper,NQSC127,2024,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2402.11014v2/main.bbl:209,[redacted_for_public_release]
A0004,NQSC127.paper.01,HPM011.paper,NQSC127,2024,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2402.11014v2/main.bbl:219,[redacted_for_public_release]
A0005,NQSC127.paper.01,HPM026.paper,NQSC127,2024,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2402.11014v2/main.bbl:953,[redacted_for_public_release]
A0006,NQSC127.paper.01,OPW028.paper,NQSC127,2024,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2402.11014v2/main.bbl:138,[redacted_for_public_release]
A0007,NQSC127.paper.01,HPM030.paper,NQSC127,2024,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2402.11014v2/main.bbl:269,[redacted_for_public_release]
A0008,NQSC127.paper.01,DTO031.paper,NQSC127,2024,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2402.11014v2/main.bbl:287,[redacted_for_public_release]
A0009,NQSC127.paper.01,APW034.paper,NQSC127,2024,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2402.11014v2/main.bbl:457,[redacted_for_public_release]
A0010,NQSC127.paper.01,HPM037.paper,NQSC127,2024,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2402.11014v2/main.bbl:908,[redacted_for_public_release]
A0011,NQSC127.paper.01,FWP047.paper,NQSC127,2024,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2402.11014v2/main.bbl:654,[redacted_for_public_release]
A0012,NQSC127.paper.01,HPM059.paper,NQSC127,2024,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2402.11014v2/main.bbl:1009,[redacted_for_public_release]
A0013,NQSC127.paper.01,APW060.paper,NQSC127,2024,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2402.11014v2/main.bbl:447,[redacted_for_public_release]
A0014,NQSC127.paper.01,NQSC071.paper,NQSC127,2024,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2402.11014v2/main.bbl:682,[redacted_for_public_release]
A0015,NQSC127.paper.01,DTO077.paper,NQSC127,2024,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2402.11014v2/main.bbl:312,[redacted_for_public_release]
A0016,NQSC127.paper.01,FWP078.paper,NQSC127,2024,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2402.11014v2/main.bbl:180,[redacted_for_public_release]
A0017,NQSC127.paper.01,CSS080.paper,NQSC127,2024,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2402.11014v2/main.bbl:871,[redacted_for_public_release]
A0018,NQSC127.paper.01,HPM083.paper,NQSC127,2024,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2402.11014v2/main.bbl:723,[redacted_for_public_release]
A0019,NQSC127.paper.01,OPW085.paper,NQSC127,2024,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2402.11014v2/main.bbl:1000,[redacted_for_public_release]
A0020,NQSC127.paper.01,APW090.paper,NQSC127,2024,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2402.11014v2/main.bbl:837,[redacted_for_public_release]
